trade_id,opened_at,closed_at,side,entry_price,exit_price,stop_loss_price,take_profit_price,break_even_triggered,exit_reason,gross_pnl_pct,net_pnl_pct,gross_pnl_usd,net_pnl_usd,entry_fee_usd,exit_fee_usd,equity_before,equity_after,mfe_pct,mae_pct,tp_progress_max,sl_progress_max
PT-0001,2026-03-25T00:45:00+00:00,2026-03-25T02:45:00+00:00,LONG,70923.9,70498.36,70498.36,71774.99,False,STOP_LOSS,-0.6,-0.8,-0.6,-0.8,0.1,0.1,100.0,99.2,0.1007,0.6107,8.4,100.0
PT-0002,2026-03-25T04:30:00+00:00,2026-03-25T11:15:00+00:00,LONG,70865.74,71716.13,70440.55,71716.13,True,TAKE_PROFIT,1.2,1.0,1.1904,0.992,0.0992,0.0992,99.2,100.192,1.5039,0.1969,100.0,32.8
PT-0003,2026-03-26T15:30:00+00:00,2026-03-26T20:00:00+00:00,SHORT,69030.49,69030.49,69444.67,67511.82,True,STOP_LOSS,0.0,-0.2,0.0,-0.200384,0.100192,0.100192,100.192,99.991616,1.2712,0.6489,57.8,100.0
PT-0004,2026-03-27T04:15:00+00:00,2026-03-27T05:00:00+00:00,SHORT,68405.23,68815.66,68815.66,66900.31,False,STOP_LOSS,-0.6,-0.8,-0.59995,-0.799933,0.099992,0.099992,99.991616,99.191683,0.0155,0.6063,0.7,100.0
PT-0005,2026-03-29T15:30:00+00:00,2026-03-29T22:30:00+00:00,SHORT,66420.74,66420.74,66819.26,64959.48,True,STOP_LOSS,0.0,-0.2,0.0,-0.198383,0.099192,0.099192,99.191683,98.9933,1.1778,0.5617,53.5,93.6
