open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume
2025-09-06T01:00:00+00:00,4322.97,4325.33,4312.63,4318.18,3833.0399,2025-09-06T01:59:59.999000+00:00,16556257.938074,59370,1717.3747,7417813.828274
2025-09-06T02:00:00+00:00,4318.18,4323.36,4304.5,4323.1,4801.8979,2025-09-06T02:59:59.999000+00:00,20720625.442045,56723,2219.8834,9578631.890139
2025-09-06T03:00:00+00:00,4323.09,4325.0,4316.65,4320.42,3969.2612,2025-09-06T03:59:59.999000+00:00,17151259.95452,52286,2121.796,9169070.736815
2025-09-06T04:00:00+00:00,4320.43,4320.43,4301.94,4309.24,5178.2328,2025-09-06T04:59:59.999000+00:00,22313693.634761,47030,1524.4137,6569799.320873
2025-09-06T05:00:00+00:00,4309.25,4312.47,4290.71,4295.0,7136.1173,2025-09-06T05:59:59.999000+00:00,30682725.674801,63178,3098.0057,13320495.451611
2025-09-06T06:00:00+00:00,4295.01,4307.4,4292.95,4302.61,3322.298,2025-09-06T06:59:59.999000+00:00,14288402.97147,42758,1842.0684,7922504.701852
2025-09-06T07:00:00+00:00,4302.62,4314.33,4300.0,4312.26,3227.015,2025-09-06T07:59:59.999000+00:00,13897971.728335,39912,1873.7219,8070136.38458
2025-09-06T08:00:00+00:00,4312.27,4315.05,4305.04,4310.82,4266.9543,2025-09-06T08:59:59.999000+00:00,18390792.189529,45893,1971.3219,8495899.021628
2025-09-06T09:00:00+00:00,4310.81,4310.81,4291.44,4292.99,5305.437,2025-09-06T09:59:59.999000+00:00,22802452.011628,56161,1866.9633,8024654.670139
2025-09-06T10:00:00+00:00,4293.0,4303.43,4286.08,4300.94,3974.2622,2025-09-06T10:59:59.999000+00:00,17069453.900506,55923,1874.3945,8051936.018785
2025-09-06T11:00:00+00:00,4300.95,4301.47,4290.93,4299.99,4075.8944,2025-09-06T11:59:59.999000+00:00,17508505.716748,54061,1452.0144,6237382.630961
2025-09-06T12:00:00+00:00,4300.0,4308.39,4292.0,4299.63,5408.2603,2025-09-06T12:59:59.999000+00:00,23261206.660641,52498,2783.6086,11974182.917119
2025-09-06T13:00:00+00:00,4299.63,4302.33,4287.17,4293.73,15009.7112,2025-09-06T13:59:59.999000+00:00,64463754.898934,62435,7237.9442,31082304.52574
2025-09-06T14:00:00+00:00,4293.73,4301.46,4292.0,4295.91,5915.5952,2025-09-06T14:59:59.999000+00:00,25420035.399635,62919,2878.1269,12367527.880005
2025-09-06T15:00:00+00:00,4295.91,4297.0,4263.19,4270.24,18603.0402,2025-09-06T15:59:59.999000+00:00,79547341.142101,141409,7585.5469,32432376.12014
2025-09-06T16:00:00+00:00,4270.23,4304.25,4236.0,4289.97,34903.9862,2025-09-06T16:59:59.999000+00:00,148885717.731473,249263,17926.8907,76499707.92462
2025-09-06T17:00:00+00:00,4289.97,4292.02,4266.82,4273.23,6662.0,2025-09-06T17:59:59.999000+00:00,28499151.146265,106418,3126.4461,13378239.742955
2025-09-06T18:00:00+00:00,4273.23,4287.46,4269.27,4279.17,5523.7348,2025-09-06T18:59:59.999000+00:00,23628076.489995,73023,3087.6626,13207502.21865
2025-09-06T19:00:00+00:00,4279.17,4281.24,4251.24,4255.48,12293.0789,2025-09-06T19:59:59.999000+00:00,52422642.508064,79209,3811.6944,16254394.497692
2025-09-06T20:00:00+00:00,4255.48,4280.59,4253.35,4279.06,5874.8533,2025-09-06T20:59:59.999000+00:00,25059711.006599,49164,3138.6387,13389918.205148
2025-09-06T21:00:00+00:00,4279.07,4286.55,4269.0,4283.31,10097.9983,2025-09-06T21:59:59.999000+00:00,43189422.528487,52100,5935.8016,25387590.334692
2025-09-06T22:00:00+00:00,4283.3,4288.0,4270.13,4277.78,9150.9846,2025-09-06T22:59:59.999000+00:00,39148756.137186,72193,4466.2905,19107477.13397
2025-09-06T23:00:00+00:00,4277.79,4283.7,4268.01,4273.14,4853.3537,2025-09-06T23:59:59.999000+00:00,20757475.799217,48293,2549.9632,10906146.923155
2025-09-07T00:00:00+00:00,4273.15,4288.69,4270.81,4284.0,5906.6451,2025-09-07T00:59:59.999000+00:00,25280612.107442,56312,3187.562,13644162.394355
2025-09-07T01:00:00+00:00,4284.01,4303.43,4283.0,4294.99,7133.1504,2025-09-07T01:59:59.999000+00:00,30628106.744311,74315,4270.788,18337234.097465
2025-09-07T02:00:00+00:00,4294.99,4303.43,4288.47,4299.43,4562.5586,2025-09-07T02:59:59.999000+00:00,19593180.466701,52473,2496.5944,10720344.193724
2025-09-07T03:00:00+00:00,4299.43,4304.08,4292.41,4296.9,4322.6383,2025-09-07T03:59:59.999000+00:00,18580236.382389,41234,1910.2317,8211332.765287
2025-09-07T04:00:00+00:00,4296.9,4302.57,4292.88,4301.38,3788.2923,2025-09-07T04:59:59.999000+00:00,16277505.006225,37990,2391.7299,10277041.504749
2025-09-07T05:00:00+00:00,4301.39,4303.43,4292.12,4294.65,3666.3345,2025-09-07T05:59:59.999000+00:00,15758524.198282,36338,2065.4648,8877287.724839
2025-09-07T06:00:00+00:00,4294.64,4295.38,4283.0,4283.82,5134.7075,2025-09-07T06:59:59.999000+00:00,22024245.118571,41686,1780.7315,7637780.923285
2025-09-07T07:00:00+00:00,4283.83,4307.2,4276.76,4294.56,7412.8001,2025-09-07T07:59:59.999000+00:00,31819241.497798,54707,3501.3394,15035332.570923
2025-09-07T08:00:00+00:00,4294.57,4315.35,4294.57,4301.14,11098.2766,2025-09-07T08:59:59.999000+00:00,47791635.600284,96347,6131.3348,26404094.754706
2025-09-07T09:00:00+00:00,4301.14,4312.01,4291.65,4299.75,9002.5975,2025-09-07T09:59:59.999000+00:00,38756399.497393,64453,5857.4734,25225102.81672
2025-09-07T10:00:00+00:00,4299.76,4306.19,4296.78,4305.59,9642.4144,2025-09-07T10:59:59.999000+00:00,41496793.870801,56197,6423.1525,27642123.677753
2025-09-07T11:00:00+00:00,4305.58,4310.88,4303.62,4310.87,11279.3306,2025-09-07T11:59:59.999000+00:00,48582431.611194,47933,6749.208,29071137.092404
2025-09-07T12:00:00+00:00,4310.88,4310.94,4294.03,4300.91,4983.7581,2025-09-07T12:59:59.999000+00:00,21434041.203725,47083,2025.0995,8709020.024845
2025-09-07T13:00:00+00:00,4300.91,4308.0,4288.95,4305.22,6486.0822,2025-09-07T13:59:59.999000+00:00,27884667.572822,53012,3331.4389,14323528.523767
2025-09-07T14:00:00+00:00,4305.21,4311.23,4297.31,4299.96,8243.2169,2025-09-07T14:59:59.999000+00:00,35478782.510268,84827,3366.4383,14490192.287547
2025-09-07T15:00:00+00:00,4299.96,4305.36,4296.49,4299.38,7868.8473,2025-09-07T15:59:59.999000+00:00,33844905.387495,53503,3771.2858,16219803.869796
2025-09-07T16:00:00+00:00,4299.39,4301.62,4283.13,4284.06,7450.9928,2025-09-07T16:59:59.999000+00:00,31980638.884923,66388,2957.8514,12694265.035835
2025-09-07T17:00:00+00:00,4284.07,4287.88,4272.3,4275.29,10187.7319,2025-09-07T17:59:59.999000+00:00,43602937.095295,83957,5292.3968,22651550.578204
2025-09-07T18:00:00+00:00,4275.29,4283.8,4270.81,4281.09,5011.9608,2025-09-07T18:59:59.999000+00:00,21439558.089398,50240,2671.3122,11427331.133482
2025-09-07T19:00:00+00:00,4281.1,4296.49,4277.0,4293.48,4239.6184,2025-09-07T19:59:59.999000+00:00,18172396.753349,56258,2312.286,9911693.452558
2025-09-07T20:00:00+00:00,4293.47,4300.0,4281.34,4300.0,4730.9807,2025-09-07T20:59:59.999000+00:00,20288014.409806,49842,2551.6011,10943964.22303
2025-09-07T21:00:00+00:00,4300.0,4300.7,4287.28,4288.11,3247.8195,2025-09-07T21:59:59.999000+00:00,13941414.474296,36314,1566.854,6725358.905542
2025-09-07T22:00:00+00:00,4288.1,4311.0,4287.12,4309.46,7080.2866,2025-09-07T22:59:59.999000+00:00,30456386.214432,83628,3776.8698,16246972.328087
2025-09-07T23:00:00+00:00,4309.47,4336.02,4298.36,4306.19,17139.7961,2025-09-07T23:59:59.999000+00:00,74037024.063342,125078,8000.8662,34567811.268221
2025-09-08T00:00:00+00:00,4306.19,4318.74,4292.5,4298.86,10111.2529,2025-09-08T00:59:59.999000+00:00,43531543.796651,144870,5186.4254,22332533.568518
2025-09-08T01:00:00+00:00,4298.85,4302.25,4285.0,4292.4,13511.5689,2025-09-08T01:59:59.999000+00:00,57988092.548567,112295,6457.0171,27718129.431224
2025-09-08T02:00:00+00:00,4292.41,4309.22,4279.0,4309.1,12670.0878,2025-09-08T02:59:59.999000+00:00,54410070.086444,112444,6813.218,29264927.274267
2025-09-08T03:00:00+00:00,4309.1,4330.97,4304.03,4311.87,15023.9074,2025-09-08T03:59:59.999000+00:00,64859245.302719,129635,6488.0853,28025598.175912
2025-09-08T04:00:00+00:00,4311.87,4313.59,4295.65,4298.15,5780.9404,2025-09-08T04:59:59.999000+00:00,24881039.108287,82742,2428.7276,10452897.105075
2025-09-08T05:00:00+00:00,4298.15,4304.34,4289.68,4297.05,5625.3948,2025-09-08T05:59:59.999000+00:00,24158998.336193,60862,3008.1535,12918192.141921
2025-09-08T06:00:00+00:00,4297.06,4303.19,4289.56,4292.21,7567.8232,2025-09-08T06:59:59.999000+00:00,32510473.842722,58191,4057.5945,17429879.429476
2025-09-08T07:00:00+00:00,4292.22,4311.67,4287.68,4291.78,13238.152,2025-09-08T07:59:59.999000+00:00,56907409.609161,78039,5910.7672,25406245.662469
2025-09-08T08:00:00+00:00,4291.78,4304.69,4288.3,4301.79,13198.9157,2025-09-08T08:59:59.999000+00:00,56717672.353106,114005,6464.2438,27775900.968747
2025-09-08T09:00:00+00:00,4301.79,4334.98,4297.39,4318.93,27271.1434,2025-09-08T09:59:59.999000+00:00,117802435.875131,141465,14631.1573,63228070.42653
2025-09-08T10:00:00+00:00,4318.93,4337.77,4315.18,4328.69,19652.835,2025-09-08T10:59:59.999000+00:00,85086232.610984,119230,10943.4863,47379723.407099
2025-09-08T11:00:00+00:00,4328.69,4329.76,4300.0,4312.41,21102.6426,2025-09-08T11:59:59.999000+00:00,91006489.050717,120648,8459.4157,36494656.373315
2025-09-08T12:00:00+00:00,4312.42,4322.6,4306.19,4320.46,11623.9289,2025-09-08T12:59:59.999000+00:00,50171903.738317,78433,6432.61,27772140.483088
2025-09-08T13:00:00+00:00,4320.46,4362.88,4316.4,4320.12,41711.4619,2025-09-08T13:59:59.999000+00:00,181083947.582789,290130,23031.6275,99980408.15922
2025-09-08T14:00:00+00:00,4320.13,4358.0,4315.0,4350.72,20262.1552,2025-09-08T14:59:59.999000+00:00,87954970.661301,182753,9033.2296,39210725.086641
2025-09-08T15:00:00+00:00,4350.72,4384.06,4344.41,4371.64,32276.4999,2025-09-08T15:59:59.999000+00:00,140983876.746577,202282,15998.1125,69868930.660152
2025-09-08T16:00:00+00:00,4371.64,4373.43,4334.31,4339.02,12652.752,2025-09-08T16:59:59.999000+00:00,55064765.058021,145977,4896.7831,21316173.881237
2025-09-08T17:00:00+00:00,4339.01,4343.29,4300.16,4311.48,19774.2328,2025-09-08T17:59:59.999000+00:00,85531882.553302,152522,7054.5714,30518559.28563
2025-09-08T18:00:00+00:00,4311.47,4336.16,4310.0,4329.71,7768.6555,2025-09-08T18:59:59.999000+00:00,33599624.274526,104869,4631.7396,20031257.173401
2025-09-08T19:00:00+00:00,4329.72,4329.72,4284.44,4293.0,19552.8485,2025-09-08T19:59:59.999000+00:00,84100410.813586,153330,9598.5505,41275317.87267
2025-09-08T20:00:00+00:00,4293.0,4301.93,4281.8,4298.45,11285.7392,2025-09-08T20:59:59.999000+00:00,48421247.450818,95378,6629.5658,28445773.344429
2025-09-08T21:00:00+00:00,4298.45,4322.18,4294.27,4322.17,11791.4365,2025-09-08T21:59:59.999000+00:00,50804237.090846,57550,7341.3218,31631202.377355
2025-09-08T22:00:00+00:00,4322.18,4332.5,4307.59,4311.14,11509.1415,2025-09-08T22:59:59.999000+00:00,49726301.65964,85689,5915.9877,25559500.143474
2025-09-08T23:00:00+00:00,4311.14,4320.16,4296.55,4306.37,7918.9195,2025-09-08T23:59:59.999000+00:00,34099804.774454,66059,4165.1166,17936418.50394
2025-09-09T00:00:00+00:00,4306.36,4316.03,4289.29,4301.99,12120.768,2025-09-09T00:59:59.999000+00:00,52172003.571538,118583,6533.1379,28118282.75865
2025-09-09T01:00:00+00:00,4301.99,4307.9,4282.3,4286.66,16278.2172,2025-09-09T01:59:59.999000+00:00,69830623.582836,105582,8497.3967,36447586.309323
2025-09-09T02:00:00+00:00,4286.66,4294.88,4276.76,4290.82,11567.5618,2025-09-09T02:59:59.999000+00:00,49549569.812886,93824,4184.6941,17927886.180839
2025-09-09T03:00:00+00:00,4290.81,4308.44,4288.24,4306.63,8402.2339,2025-09-09T03:59:59.999000+00:00,36124464.129175,60799,4515.3483,19410610.546564
2025-09-09T04:00:00+00:00,4306.62,4318.0,4303.29,4313.56,10446.1691,2025-09-09T04:59:59.999000+00:00,45031994.790049,62479,4444.5153,19160473.771132
2025-09-09T05:00:00+00:00,4313.56,4320.65,4302.5,4318.87,6265.3619,2025-09-09T05:59:59.999000+00:00,27004377.794479,58160,3365.3515,14505914.510868
2025-09-09T06:00:00+00:00,4318.87,4375.41,4315.46,4365.66,41173.124,2025-09-09T06:59:59.999000+00:00,179199360.531584,182475,23542.3666,102432275.992057
2025-09-09T07:00:00+00:00,4365.65,4381.87,4346.06,4361.53,29773.7996,2025-09-09T07:59:59.999000+00:00,129982784.289921,129237,13606.2902,59398639.332407
2025-09-09T08:00:00+00:00,4361.53,4366.77,4343.79,4359.68,16829.8234,2025-09-09T08:59:59.999000+00:00,73327459.247827,97285,9058.351,39469064.408661
2025-09-09T09:00:00+00:00,4359.68,4366.11,4352.64,4357.2,9419.2244,2025-09-09T09:59:59.999000+00:00,41062996.319599,68648,4098.3627,17866252.132011
2025-09-09T10:00:00+00:00,4357.2,4363.16,4342.16,4348.73,12939.1252,2025-09-09T10:59:59.999000+00:00,56322254.296227,100331,7157.6813,31159930.781615
2025-09-09T11:00:00+00:00,4348.73,4356.0,4344.54,4347.34,8504.8467,2025-09-09T11:59:59.999000+00:00,37004357.473028,80158,4049.3593,17616546.003385
2025-09-09T12:00:00+00:00,4347.33,4367.44,4329.12,4345.19,18092.2539,2025-09-09T12:59:59.999000+00:00,78742892.432737,155576,7670.7534,33387813.984359
2025-09-09T13:00:00+00:00,4345.2,4360.75,4324.07,4347.42,26126.9189,2025-09-09T13:59:59.999000+00:00,113432493.391747,330887,12895.4275,55995608.663881
2025-09-09T14:00:00+00:00,4347.42,4362.11,4286.0,4306.24,56739.1936,2025-09-09T14:59:59.999000+00:00,244663067.391078,433107,26640.5708,114857383.02297
2025-09-09T15:00:00+00:00,4306.24,4310.0,4277.06,4284.94,49887.0407,2025-09-09T15:59:59.999000+00:00,213920244.402997,263907,21428.2172,91889909.655333
2025-09-09T16:00:00+00:00,4284.94,4297.16,4278.13,4288.11,14026.7964,2025-09-09T16:59:59.999000+00:00,60121797.991734,107959,5862.691,25134305.702597
2025-09-09T17:00:00+00:00,4288.12,4296.66,4280.01,4285.91,9764.2959,2025-09-09T17:59:59.999000+00:00,41849832.509192,94825,3870.3246,16588904.147092
