open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume
2026-03-14T19:45:00+00:00,70718.86,70740.34,70692.5,70700.0,16.29134,2026-03-14T19:59:59.999000+00:00,1151980.3249687,9436,6.47574,457912.0718405
2026-03-14T20:00:00+00:00,70699.99,70705.48,70650.09,70683.58,16.1256,2026-03-14T20:14:59.999000+00:00,1139708.3601179,11774,6.55123,463002.1609369
2026-03-14T20:15:00+00:00,70683.58,70765.48,70683.57,70735.78,23.30398,2026-03-14T20:29:59.999000+00:00,1648289.2610994,9080,11.90032,841736.299604
2026-03-14T20:30:00+00:00,70735.78,70856.4,70735.77,70850.0,36.51113,2026-03-14T20:44:59.999000+00:00,2584519.8270982,8962,23.77342,1682858.5278037
2026-03-14T20:45:00+00:00,70850.0,70854.48,70798.0,70805.71,38.07781,2026-03-14T20:59:59.999000+00:00,2696914.4437245,10838,15.39372,1090321.7909613
2026-03-14T21:00:00+00:00,70805.71,70805.71,70661.06,70663.47,38.71147,2026-03-14T21:14:59.999000+00:00,2737821.4411001,10876,12.22666,864722.3905372
2026-03-14T21:15:00+00:00,70663.47,70716.02,70663.46,70690.42,22.21172,2026-03-14T21:29:59.999000+00:00,1570115.0598509,6701,11.59693,819739.582244
2026-03-14T21:30:00+00:00,70690.42,70753.91,70680.0,70738.79,25.22867,2026-03-14T21:44:59.999000+00:00,1784050.664468,8688,9.903,700231.9657686
2026-03-14T21:45:00+00:00,70738.78,70825.04,70712.48,70799.99,27.76139,2026-03-14T21:59:59.999000+00:00,1965021.7788518,13713,13.63939,965395.3919709
2026-03-14T22:00:00+00:00,70799.99,70805.15,70716.85,70716.85,22.12053,2026-03-14T22:14:59.999000+00:00,1565453.9239486,13241,8.22249,581883.8792937
2026-03-14T22:15:00+00:00,70716.85,70771.25,70712.48,70736.39,22.67908,2026-03-14T22:29:59.999000+00:00,1604284.5677864,7888,9.5878,678236.3134085
2026-03-14T22:30:00+00:00,70736.4,70801.49,70736.39,70753.24,22.04824,2026-03-14T22:44:59.999000+00:00,1560162.7385369,7976,13.28958,940350.5966807
2026-03-14T22:45:00+00:00,70753.24,70753.26,70695.29,70710.91,22.3953,2026-03-14T22:59:59.999000+00:00,1583783.2165098,7508,9.2329,652973.6327479
2026-03-14T23:00:00+00:00,70710.9,71093.72,70710.9,71012.43,172.96256,2026-03-14T23:14:59.999000+00:00,12274682.748347,36561,94.00654,6670173.8167672
2026-03-14T23:15:00+00:00,71012.43,71057.97,70909.06,71034.44,103.9648,2026-03-14T23:29:59.999000+00:00,7382130.7821366,17791,65.57194,4656842.8874316
2026-03-14T23:30:00+00:00,71034.44,71216.72,71024.0,71181.17,147.54811,2026-03-14T23:44:59.999000+00:00,10499369.8512203,27191,86.996,6189996.7565625
2026-03-14T23:45:00+00:00,71181.18,71253.17,71109.65,71211.95,113.09404,2026-03-14T23:59:59.999000+00:00,8050639.1267172,20068,68.98207,4911176.7991099
2026-03-15T00:00:00+00:00,71211.95,71215.49,71027.36,71088.25,123.90316,2026-03-15T00:14:59.999000+00:00,8811248.2041003,23947,38.98225,2772564.1265925
2026-03-15T00:15:00+00:00,71088.25,71220.74,71004.01,71066.5,216.63903,2026-03-15T00:29:59.999000+00:00,15401643.3770442,21451,93.39527,6638423.7999127
2026-03-15T00:30:00+00:00,71066.5,71119.41,70977.14,71083.0,179.92975,2026-03-15T00:44:59.999000+00:00,12786121.647718,15566,91.83954,6526464.3354561
2026-03-15T00:45:00+00:00,71083.01,71083.01,70967.59,70985.28,55.7681,2026-03-15T00:59:59.999000+00:00,3959567.9709847,13885,17.52842,1244548.6275179
2026-03-15T01:00:00+00:00,70985.29,71037.41,70893.14,70949.72,212.54216,2026-03-15T01:14:59.999000+00:00,15087600.2990531,19412,67.48144,4790326.8532549
2026-03-15T01:15:00+00:00,70949.72,71000.0,70891.99,70933.69,38.28304,2026-03-15T01:29:59.999000+00:00,2715656.1847799,12151,13.06162,926775.4780071
2026-03-15T01:30:00+00:00,70933.68,70951.67,70858.82,70932.47,40.13155,2026-03-15T01:44:59.999000+00:00,2845534.5613502,13511,11.46594,813011.7014159
