trade_number,exit_time,trade_return_pct,cumulative_return_pct,equity_multiple
47,2025-12-12T08:15:00+00:00,-0.8,-24.9764,0.750236
48,2025-12-12T14:45:00+00:00,-0.8,-25.5766,0.744234
49,2025-12-14T18:15:00+00:00,-0.8,-26.172,0.73828
50,2025-12-15T00:00:00+00:00,-0.8,-26.7626,0.732374
51,2025-12-17T07:00:00+00:00,-0.8,-27.3485,0.726515
52,2025-12-17T11:15:00+00:00,-0.8,-27.9297,0.720703
53,2025-12-23T11:00:00+00:00,-0.8,-28.5063,0.714937
54,2025-12-23T13:30:00+00:00,-0.2,-28.6493,0.713507
55,2025-12-26T01:45:00+00:00,-0.8,-29.2201,0.707799
56,2025-12-28T18:15:00+00:00,-0.8,-29.7863,0.702137
57,2025-12-31T14:30:00+00:00,-0.2,-29.9267,0.700733
58,2026-01-01T17:30:00+00:00,-0.8,-30.4873,0.695127
59,2026-01-04T00:00:00+00:00,1.0,-29.7922,0.702078
60,2026-01-04T06:30:00+00:00,-0.8,-30.3539,0.696461
61,2026-01-04T13:15:00+00:00,-0.8,-30.911,0.69089
62,2026-01-06T14:00:00+00:00,-0.2,-31.0492,0.689508
63,2026-01-07T00:45:00+00:00,-0.8,-31.6008,0.683992
64,2026-01-09T04:30:00+00:00,-0.8,-32.148,0.67852
65,2026-01-11T16:15:00+00:00,1.0,-31.4695,0.685305
66,2026-01-11T17:15:00+00:00,-0.8,-32.0177,0.679823
67,2026-01-12T02:15:00+00:00,1.0,-31.3379,0.686621
68,2026-01-12T07:30:00+00:00,-0.8,-31.8872,0.681128
69,2026-01-13T13:30:00+00:00,1.0,-31.2061,0.687939
70,2026-01-13T15:00:00+00:00,-1.01,-31.9009,0.680991
71,2026-01-13T17:15:00+00:00,-0.8,-32.4457,0.675543
72,2026-01-18T18:15:00+00:00,-0.8,-32.9861,0.670139
73,2026-01-19T16:45:00+00:00,-0.8,-33.5222,0.664778
74,2026-01-22T19:30:00+00:00,-0.2,-33.6552,0.663448
75,2026-01-23T15:45:00+00:00,-0.2,-33.7879,0.662121
76,2026-01-25T16:00:00+00:00,2.0,-32.4636,0.675364
77,2026-01-25T17:30:00+00:00,-0.8,-33.0039,0.669961
78,2026-01-25T19:15:00+00:00,2.0,-31.664,0.68336
79,2026-01-25T21:00:00+00:00,-0.8,-32.2107,0.677893
80,2026-01-29T05:00:00+00:00,-0.8,-32.753,0.67247
81,2026-01-31T09:30:00+00:00,-0.8,-33.291,0.66709
82,2026-01-31T15:00:00+00:00,-0.8,-33.8247,0.661753
83,2026-02-03T03:30:00+00:00,-0.8,-34.3541,0.656459
84,2026-02-03T15:15:00+00:00,-0.2,-34.4854,0.655146
85,2026-02-05T15:30:00+00:00,2.3119,-32.9707,0.670293
86,2026-02-05T18:15:00+00:00,2.0,-31.6301,0.683699
87,2026-02-05T21:00:00+00:00,-0.2,-31.7669,0.682331
88,2026-02-10T14:30:00+00:00,2.0,-30.4022,0.695978
89,2026-02-10T15:30:00+00:00,-0.8,-30.959,0.69041
90,2026-02-10T19:30:00+00:00,-0.8,-31.5113,0.684887
91,2026-02-12T21:15:00+00:00,-0.8,-32.0592,0.679408
92,2026-02-14T11:00:00+00:00,-0.2,-32.1951,0.678049
93,2026-02-16T17:00:00+00:00,-0.2,-32.3307,0.676693
94,2026-02-17T13:45:00+00:00,-0.8,-32.8721,0.671279
95,2026-02-19T16:45:00+00:00,-0.8,-33.4091,0.665909
96,2026-02-21T14:15:00+00:00,1.0,-32.7432,0.672568
97,2026-02-22T21:45:00+00:00,-0.8,-33.2812,0.667188
98,2026-02-23T01:00:00+00:00,2.0,-31.9469,0.680531
99,2026-02-23T16:30:00+00:00,-1.2528,-32.7994,0.672006
100,2026-02-23T20:45:00+00:00,-0.8,-33.337,0.66663
101,2026-02-25T22:00:00+00:00,-0.8963,-33.9345,0.660655
102,2026-02-27T06:15:00+00:00,-0.8,-34.4631,0.655369
103,2026-03-04T00:30:00+00:00,-0.8,-34.9874,0.650126
104,2026-03-04T01:30:00+00:00,-0.2,-35.1174,0.648826
105,2026-03-06T13:15:00+00:00,-0.8,-35.6365,0.643635
106,2026-03-06T17:30:00+00:00,2.0,-34.3492,0.656508
107,2026-03-07T03:00:00+00:00,-0.8,-34.8744,0.651256
108,2026-03-07T08:30:00+00:00,-0.8,-35.3954,0.646046
109,2026-03-09T19:45:00+00:00,-0.8447,-35.9411,0.640589
110,2026-03-10T03:30:00+00:00,-0.8,-36.4536,0.635464
111,2026-03-12T13:15:00+00:00,-0.2,-36.5807,0.634193
112,2026-03-13T00:30:00+00:00,2.2307,-35.166,0.64834
113,2026-03-13T12:45:00+00:00,1.0,-34.5176,0.654824
114,2026-03-13T14:30:00+00:00,-0.8,-35.0415,0.649585
115,2026-03-15T13:00:00+00:00,-0.8,-35.5612,0.644388
116,2026-03-17T22:30:00+00:00,-0.8,-36.0767,0.639233
117,2026-03-18T15:45:00+00:00,-0.8,-36.5881,0.634119
118,2026-03-22T21:00:00+00:00,2.0,-35.3198,0.646802
119,2026-03-23T01:15:00+00:00,-0.8,-35.8373,0.641627
120,2026-03-23T07:45:00+00:00,-0.8,-36.3506,0.636494
