open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume
2025-09-26T01:00:00+00:00,0.22607,0.22681,0.22518,0.22645,21245148.0,2025-09-26T01:14:59.999000+00:00,4802139.91652,26225,10863090.0,2455924.44873
2025-09-26T01:15:00+00:00,0.22644,0.22773,0.22639,0.22683,18369293.0,2025-09-26T01:29:59.999000+00:00,4172173.20106,26158,11880835.0,2698514.14625
2025-09-26T01:30:00+00:00,0.22682,0.22737,0.22619,0.22672,8653029.0,2025-09-26T01:44:59.999000+00:00,1962608.51873,16169,4472951.0,1014603.7813
2025-09-26T01:45:00+00:00,0.22672,0.22773,0.22601,0.22636,24237834.0,2025-09-26T01:59:59.999000+00:00,5493021.4993,18176,13150733.0,2979614.96576
2025-09-26T02:00:00+00:00,0.22635,0.22767,0.22523,0.22593,13142227.0,2025-09-26T02:14:59.999000+00:00,2975432.81953,20424,6232228.0,1411659.07439
2025-09-26T02:15:00+00:00,0.22593,0.22718,0.22569,0.22583,11245936.0,2025-09-26T02:29:59.999000+00:00,2547523.24511,17309,5217458.0,1182205.35719
2025-09-26T02:30:00+00:00,0.22582,0.22674,0.22527,0.22642,8479270.0,2025-09-26T02:44:59.999000+00:00,1917999.0459,15277,4196490.0,949174.43351
2025-09-26T02:45:00+00:00,0.22642,0.22715,0.22576,0.22603,6865100.0,2025-09-26T02:59:59.999000+00:00,1554452.58806,9509,3222623.0,729867.44402
2025-09-26T03:00:00+00:00,0.22603,0.22676,0.22513,0.22662,9830499.0,2025-09-26T03:14:59.999000+00:00,2221247.45265,12818,5144342.0,1163375.08415
2025-09-26T03:15:00+00:00,0.22662,0.22713,0.22615,0.22625,7772700.0,2025-09-26T03:29:59.999000+00:00,1760780.48202,13802,3828906.0,867378.52428
2025-09-26T03:30:00+00:00,0.22625,0.2267,0.22582,0.22665,5725259.0,2025-09-26T03:44:59.999000+00:00,1295202.32728,9372,2818527.0,637790.83702
2025-09-26T03:45:00+00:00,0.22665,0.22737,0.22596,0.22718,7596145.0,2025-09-26T03:59:59.999000+00:00,1722551.30512,9564,4443504.0,1008131.86666
2025-09-26T04:00:00+00:00,0.22718,0.22759,0.22661,0.22709,9923377.0,2025-09-26T04:14:59.999000+00:00,2254714.70691,15461,4713323.0,1071164.33383
2025-09-26T04:15:00+00:00,0.22708,0.2277,0.22677,0.22686,6643298.0,2025-09-26T04:29:59.999000+00:00,1509429.19963,10359,3143837.0,714703.0774
2025-09-26T04:30:00+00:00,0.22685,0.22686,0.22569,0.22597,5636395.0,2025-09-26T04:44:59.999000+00:00,1275185.11053,9405,1884055.0,426142.77525
2025-09-26T04:45:00+00:00,0.22598,0.22652,0.22573,0.22636,4086632.0,2025-09-26T04:59:59.999000+00:00,924081.72015,7787,2705109.0,611694.13258
2025-09-26T05:00:00+00:00,0.22636,0.22747,0.22615,0.22746,6204511.0,2025-09-26T05:14:59.999000+00:00,1408553.75491,11711,3397127.0,771064.85263
2025-09-26T05:15:00+00:00,0.22747,0.22793,0.22731,0.22769,6897728.0,2025-09-26T05:29:59.999000+00:00,1569969.4462,10760,4851043.0,1104080.4324
2025-09-26T05:30:00+00:00,0.22769,0.22773,0.22658,0.22669,9941330.0,2025-09-26T05:44:59.999000+00:00,2257411.91321,10412,3886713.0,882689.31542
2025-09-26T05:45:00+00:00,0.2267,0.22693,0.22544,0.22596,11707853.0,2025-09-26T05:59:59.999000+00:00,2646197.65966,16025,4460705.0,1008115.30569
2025-09-26T06:00:00+00:00,0.22596,0.2263,0.22471,0.22559,26888609.0,2025-09-26T06:14:59.999000+00:00,6062033.92861,19667,14255592.0,3213396.08765
2025-09-26T06:15:00+00:00,0.2256,0.22778,0.22552,0.2273,19415644.0,2025-09-26T06:29:59.999000+00:00,4406461.89307,19797,9371849.0,2125183.46161
2025-09-26T06:30:00+00:00,0.22729,0.22802,0.2268,0.22776,8762146.0,2025-09-26T06:44:59.999000+00:00,1992587.10396,13517,5612166.0,1276238.63521
2025-09-26T06:45:00+00:00,0.22777,0.22779,0.22613,0.22656,19788954.0,2025-09-26T06:59:59.999000+00:00,4487963.38748,13584,9776493.0,2216532.21504
2025-09-26T07:00:00+00:00,0.22656,0.22764,0.22645,0.22758,15166778.0,2025-09-26T07:14:59.999000+00:00,3442267.00246,17048,7205543.0,1635142.44248
2025-09-26T07:15:00+00:00,0.22759,0.22762,0.22648,0.22648,8412283.0,2025-09-26T07:29:59.999000+00:00,1911276.35146,12686,2626022.0,596608.59912
2025-09-26T07:30:00+00:00,0.22648,0.22648,0.2248,0.22534,12355854.0,2025-09-26T07:44:59.999000+00:00,2784783.04861,20632,4784663.0,1078541.92404
2025-09-26T07:45:00+00:00,0.22534,0.22711,0.22519,0.22703,8012656.0,2025-09-26T07:59:59.999000+00:00,1811810.97541,9041,4889416.0,1105238.57052
2025-09-26T08:00:00+00:00,0.22702,0.22797,0.22693,0.22744,18047190.0,2025-09-26T08:14:59.999000+00:00,4106823.71846,13865,10116602.0,2302195.11223
2025-09-26T08:15:00+00:00,0.22745,0.22791,0.226,0.22728,28546476.0,2025-09-26T08:29:59.999000+00:00,6474256.32006,15640,8393885.0,1907654.80849
2025-09-26T08:30:00+00:00,0.22729,0.22774,0.22676,0.22718,6230472.0,2025-09-26T08:44:59.999000+00:00,1415634.60076,13997,2895932.0,657889.30663
2025-09-26T08:45:00+00:00,0.22718,0.22737,0.22631,0.22645,5700555.0,2025-09-26T08:59:59.999000+00:00,1292557.62211,10960,3053784.0,692458.39134
2025-09-26T09:00:00+00:00,0.22645,0.22706,0.22592,0.22679,19982068.0,2025-09-26T09:14:59.999000+00:00,4532132.02267,10967,10032169.0,2275288.77482
2025-09-26T09:15:00+00:00,0.2268,0.22681,0.22562,0.22588,5604721.0,2025-09-26T09:29:59.999000+00:00,1267296.36833,9705,2988931.0,675701.51581
2025-09-26T09:30:00+00:00,0.22587,0.22616,0.22436,0.22481,13276639.0,2025-09-26T09:44:59.999000+00:00,2987803.9803,14059,5191929.0,1167451.71249
2025-09-26T09:45:00+00:00,0.22481,0.22573,0.22465,0.22543,10785901.0,2025-09-26T09:59:59.999000+00:00,2429977.61133,14789,4970069.0,1119906.8718
2025-09-26T10:00:00+00:00,0.22544,0.22557,0.22328,0.22362,31001860.0,2025-09-26T10:14:59.999000+00:00,6950815.89485,19846,10554135.0,2364117.13549
2025-09-26T10:15:00+00:00,0.22363,0.22412,0.22318,0.22359,15004606.0,2025-09-26T10:29:59.999000+00:00,3355462.41496,14917,6349031.0,1420104.47724
2025-09-26T10:30:00+00:00,0.22359,0.22389,0.22219,0.2227,41980136.0,2025-09-26T10:44:59.999000+00:00,9358703.2924,22394,9715161.0,2168069.21059
2025-09-26T10:45:00+00:00,0.2227,0.22339,0.22257,0.22291,11251613.0,2025-09-26T10:59:59.999000+00:00,2508217.22197,11718,6425506.0,1432777.9279
2025-09-26T11:00:00+00:00,0.2229,0.22331,0.22134,0.22188,28665792.0,2025-09-26T11:14:59.999000+00:00,6369711.92473,20923,11130564.0,2476046.95827
2025-09-26T11:15:00+00:00,0.22188,0.22344,0.22175,0.22316,10895857.0,2025-09-26T11:29:59.999000+00:00,2426473.76269,15891,5723280.0,1274695.71276
2025-09-26T11:30:00+00:00,0.22316,0.2252,0.22316,0.22493,18197118.0,2025-09-26T11:44:59.999000+00:00,4087698.21976,14660,14232357.0,3197382.52266
2025-09-26T11:45:00+00:00,0.22492,0.22547,0.2245,0.22452,9580292.0,2025-09-26T11:59:59.999000+00:00,2155091.64129,12827,4678367.0,1052428.10254
2025-09-26T12:00:00+00:00,0.22452,0.22452,0.22234,0.22235,9168636.0,2025-09-26T12:14:59.999000+00:00,2047804.75489,17227,3405768.0,760974.16627
2025-09-26T12:15:00+00:00,0.22235,0.22425,0.22171,0.22396,41213084.0,2025-09-26T12:29:59.999000+00:00,9180856.95323,22670,19870835.0,4432258.94422
2025-09-26T12:30:00+00:00,0.22397,0.22809,0.22279,0.22738,112176984.0,2025-09-26T12:44:59.999000+00:00,25285200.91695,65735,60868904.0,13725978.07351
2025-09-26T12:45:00+00:00,0.22738,0.22751,0.22554,0.22648,17699615.0,2025-09-26T12:59:59.999000+00:00,4007190.16391,19822,5327422.0,1206457.91015
2025-09-26T13:00:00+00:00,0.22648,0.22684,0.2254,0.22591,12353421.0,2025-09-26T13:14:59.999000+00:00,2790206.33087,14897,6531929.0,1475297.11068
2025-09-26T13:15:00+00:00,0.22591,0.22622,0.22468,0.22505,15334664.0,2025-09-26T13:29:59.999000+00:00,3457792.07105,12958,7717197.0,1740252.34933
2025-09-26T13:30:00+00:00,0.22505,0.22688,0.22429,0.2263,24421258.0,2025-09-26T13:44:59.999000+00:00,5517115.34426,24645,12971141.0,2930340.66662
